sample_id,country,R0,gen_time,p_det,false_positive_rate,earliest_detection_time,earliest_surveillance_type,local_cases_at_detection,total_latent,total_infectious,total_detectable
141,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,144.0,824.0,814.0,1817.0
142,Switzerland,2.0,4.0,0.08,0.04,29.0,AWW,300.0,870.0,785.0,1761.0
143,Switzerland,2.0,4.0,0.08,0.04,37.28576715261371,ICU,1085.0,816.0,797.0,1809.0
144,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,373.0,817.0,730.0,1798.0
145,Switzerland,2.0,4.0,0.08,0.04,29.500000631080596,HARISS,941.0,880.0,734.0,1735.0
146,Switzerland,2.0,4.0,0.08,0.04,27.441250003541043,ICU,65.0,888.0,806.0,1798.0
147,Switzerland,2.0,4.0,0.08,0.04,26.500000402985727,HARISS,533.0,858.0,808.0,1654.0
148,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,575.0,872.0,788.0,1780.0
149,Switzerland,2.0,4.0,0.08,0.04,23.0,AWW,35.0,812.0,781.0,1764.0
150,Switzerland,2.0,4.0,0.08,0.04,19.0,AWW,NaN,875.0,810.0,1762.0
151,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,186.0,862.0,818.0,1781.0
152,Switzerland,2.0,4.0,0.08,0.04,18.0,AWW,NaN,816.0,834.0,1692.0
153,Switzerland,2.0,4.0,0.08,0.04,24.010175508370473,ICU,263.0,825.0,813.0,1751.0
154,Switzerland,2.0,4.0,0.08,0.04,22.50000022079869,HARISS,13.0,835.0,781.0,1749.0
155,Switzerland,2.0,4.0,0.08,0.04,36.50000075131105,HARISS,390.0,882.0,796.0,1769.0
156,Switzerland,2.0,4.0,0.08,0.04,29.500000866653266,HARISS,781.0,808.0,776.0,1732.0
157,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,115.0,798.0,798.0,1717.0
158,Switzerland,2.0,4.0,0.08,0.04,40.91013683156057,ICU,1486.0,824.0,825.0,1711.0
159,Switzerland,2.0,4.0,0.08,0.04,33.500000294912624,HARISS,926.0,864.0,828.0,1704.0
160,Switzerland,2.0,4.0,0.08,0.04,31.692000570494788,ICU,197.0,870.0,744.0,1774.0
161,Switzerland,2.0,4.0,0.08,0.04,33.69026567793202,ICU,1207.0,853.0,809.0,1763.0
162,Switzerland,2.0,4.0,0.08,0.04,29.0468763482751,ICU,657.0,862.0,783.0,1770.0
163,Switzerland,2.0,4.0,0.08,0.04,33.500000138483536,HARISS,763.0,847.0,838.0,1783.0
164,Switzerland,2.0,4.0,0.08,0.04,31.512491918987887,ICU,474.0,849.0,814.0,1797.0
165,Switzerland,2.0,4.0,0.08,0.04,32.33565152559925,ICU,177.0,842.0,744.0,1812.0
166,Switzerland,2.0,4.0,0.08,0.04,26.923572912690986,ICU,731.0,869.0,793.0,1775.0
167,Switzerland,2.0,4.0,0.08,0.04,20.0,AWW,11.0,867.0,777.0,1810.0
168,Switzerland,2.0,4.0,0.08,0.04,27.418774561030222,ICU,357.0,836.0,780.0,1838.0
169,Switzerland,2.0,4.0,0.08,0.04,37.0,AWW,768.0,825.0,752.0,1785.0
170,Switzerland,2.0,4.0,0.08,0.04,25.490798214225514,ICU,1081.0,836.0,783.0,1754.0
171,Switzerland,2.0,4.0,0.08,0.04,23.0,AWW,74.0,905.0,772.0,1784.0
172,Switzerland,2.0,4.0,0.08,0.04,31.809735646878554,ICU,327.0,838.0,812.0,1700.0
173,Switzerland,2.0,4.0,0.08,0.04,37.43048955254239,ICU,956.0,817.0,837.0,1796.0
174,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,495.0,853.0,779.0,1693.0
175,Switzerland,2.0,4.0,0.08,0.04,19.500000640495593,HARISS,513.0,854.0,801.0,1761.0
176,Switzerland,2.0,4.0,0.08,0.04,19.500000557419202,HARISS,164.0,768.0,764.0,1779.0
177,Switzerland,2.0,4.0,0.08,0.04,24.92061855607868,ICU,1852.0,789.0,752.0,1802.0
178,Switzerland,2.0,4.0,0.08,0.04,29.500000725511946,HARISS,512.0,837.0,818.0,1726.0
179,Switzerland,2.0,4.0,0.08,0.04,26.500000877892848,HARISS,201.0,916.0,753.0,1793.0
180,Switzerland,2.0,4.0,0.08,0.04,33.50000057686903,HARISS,421.0,835.0,832.0,1767.0
181,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,63.0,802.0,802.0,1708.0
182,Switzerland,2.0,4.0,0.08,0.04,39.90256779812746,ICU,1679.0,832.0,745.0,1729.0
183,Switzerland,2.0,4.0,0.08,0.04,30.08030394083969,ICU,344.0,840.0,821.0,1764.0
184,Switzerland,2.0,4.0,0.08,0.04,17.345190969032316,ICU,51.0,810.0,841.0,1761.0
185,Switzerland,2.0,4.0,0.08,0.04,22.673249127656305,ICU,97.0,865.0,786.0,1793.0
186,Switzerland,2.0,4.0,0.08,0.04,33.61712048887351,ICU,927.0,829.0,749.0,1782.0
187,Switzerland,2.0,4.0,0.08,0.04,29.63281030691781,ICU,224.0,888.0,794.0,1773.0
188,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,68.0,813.0,805.0,1741.0
189,Switzerland,2.0,4.0,0.08,0.04,29.262882697599558,ICU,1040.0,812.0,842.0,1850.0
190,Switzerland,2.0,4.0,0.08,0.04,35.57391545549997,ICU,693.0,869.0,788.0,1720.0
191,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,217.0,883.0,774.0,1837.0
