sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
531,Switzerland,2.0,4.0,0.08,0.04,45.496374363759394,2710.0,36.50000033499285,365.0,28.0,47.0,35.0,259.0,28.0,AWW,35.0,AWW,5141.0,4737.0,10521.0
532,Switzerland,2.0,4.0,0.08,0.04,46.518146777743134,704.0,40.50000081006352,223.0,31.0,39.0,37.0,111.0,31.0,AWW,37.0,AWW,5122.0,4772.0,10709.0
533,Switzerland,2.0,4.0,0.08,0.04,43.79892395255198,1058.0,36.500000049668245,189.0,17.0,2.0,38.0,272.0,17.0,AWW,36.500000049668245,HARISS,5168.0,4632.0,10629.0
534,Switzerland,2.0,4.0,0.08,0.04,51.05721325557811,1677.0,47.500000258125176,797.0,7.0,0.0,35.0,78.0,7.0,AWW,35.0,AWW,5180.0,4927.0,10571.0
535,Switzerland,2.0,4.0,0.08,0.04,40.78603394524277,630.0,40.500000252423455,591.0,28.0,38.0,29.0,42.0,28.0,AWW,29.0,AWW,5016.0,4758.0,10620.0
536,Switzerland,2.0,4.0,0.08,0.04,34.191402064829816,1041.0,36.5000007763751,1758.0,13.0,5.0,34.0,992.0,13.0,AWW,34.0,AWW,5143.0,4857.0,10690.0
537,Switzerland,2.0,4.0,0.08,0.04,48.65634097308371,3571.0,43.50000050229974,1226.0,25.0,17.0,33.0,125.0,25.0,AWW,33.0,AWW,5046.0,4681.0,10583.0
538,Switzerland,2.0,4.0,0.08,0.04,49.868495465447644,1807.0,47.50000069641252,1118.0,35.0,74.0,36.0,97.0,35.0,AWW,36.0,AWW,5252.0,4755.0,10592.0
539,Switzerland,2.0,4.0,0.08,0.04,49.35617646337371,5533.0,43.50000074877888,1632.0,30.0,95.0,31.0,122.0,30.0,AWW,31.0,AWW,5132.0,4993.0,10541.0
540,Switzerland,2.0,4.0,0.08,0.04,27.407291762987253,16.0,50.50000040254404,1030.0,23.0,3.0,24.0,7.0,23.0,AWW,24.0,AWW,5165.0,4748.0,10551.0
