sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
732,Switzerland,1.5,4.0,0.08,0.04,85.18357655674416,23498.0,61.50000032612128,721.0,38.0,1.0,60.0,596.0,38.0,AWW,60.0,AWW,991.0,1096.0,2964.0
733,Switzerland,1.5,4.0,0.08,0.04,66.50949958641321,2790.0,47.500000485182916,138.0,30.0,7.0,47.0,127.0,30.0,AWW,47.0,AWW,955.0,1007.0,2950.0
734,Switzerland,1.5,4.0,0.08,0.04,60.209444522533104,1436.0,61.50000066210676,1694.0,15.0,0.0,50.0,458.0,15.0,AWW,50.0,AWW,974.0,1129.0,3022.0
735,Switzerland,1.5,4.0,0.08,0.04,33.82679692828365,84.0,50.500000262436316,975.0,20.0,4.0,55.0,1849.0,20.0,AWW,33.82679692828365,ICU,930.0,1088.0,2992.0
736,Switzerland,1.5,4.0,0.08,0.04,26.2546120844202,5.0,61.50000089289403,1715.0,29.0,5.0,59.0,1116.0,26.2546120844202,ICU,26.2546120844202,ICU,970.0,1039.0,2948.0
737,Switzerland,1.5,4.0,0.08,0.04,84.56980660243941,18333.0,54.50000007761861,194.0,18.0,14.0,55.0,214.0,18.0,AWW,54.50000007761861,HARISS,1031.0,1053.0,2953.0
738,Switzerland,1.5,4.0,0.08,0.04,25.500417799306295,2.0,61.50000088561637,664.0,36.0,2.0,62.0,707.0,25.500417799306295,ICU,25.500417799306295,ICU,970.0,1018.0,3008.0
739,Switzerland,1.5,4.0,0.08,0.04,43.09244876799574,53.0,64.500000900994,1240.0,26.0,0.0,50.0,128.0,26.0,AWW,43.09244876799574,ICU,1018.0,1160.0,2960.0
740,Switzerland,1.5,4.0,0.08,0.04,47.064509047090624,34.0,61.50000080524691,678.0,36.0,2.0,42.0,14.0,36.0,AWW,42.0,AWW,975.0,1034.0,3001.0
741,Switzerland,1.5,4.0,0.08,0.04,53.00530617078645,1344.0,36.500000614892876,119.0,30.0,34.0,48.0,653.0,30.0,AWW,36.500000614892876,HARISS,970.0,1055.0,3071.0
