sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
211,Switzerland,1.5,4.0,0.08,0.04,39.524036059431026,625.0,40.500000463161534,722.0,57.0,7446.0,39.524036059431026,ICU,951.0,1049.0,3000.0
212,Switzerland,1.5,4.0,0.08,0.04,49.44134224724268,109.0,64.50000059358557,1272.0,53.0,198.0,49.44134224724268,ICU,1019.0,1092.0,2992.0
213,Switzerland,1.5,4.0,0.08,0.04,68.74589894589636,3057.0,71.50000050502638,4736.0,52.0,241.0,52.0,AWW,976.0,1011.0,3005.0
214,Switzerland,1.5,4.0,0.08,0.04,53.424733795549706,1011.0,54.50000061733182,1179.0,51.0,681.0,51.0,AWW,1055.0,987.0,2961.0
215,Switzerland,1.5,4.0,0.08,0.04,29.63287871056274,7.0,Inf,NaN,59.0,7.0,29.63287871056274,ICU,976.0,1048.0,3075.0
216,Switzerland,1.5,4.0,0.08,0.04,72.59988955726917,682.0,85.50000064274812,4320.0,43.0,24.0,43.0,AWW,948.0,1042.0,2875.0
217,Switzerland,1.5,4.0,0.08,0.04,40.141047688421025,14.0,75.50000090354257,552.0,41.0,15.0,40.141047688421025,ICU,1010.0,1045.0,3070.0
218,Switzerland,1.5,4.0,0.08,0.04,34.0025795935661,16.0,Inf,NaN,49.0,16.0,34.0025795935661,ICU,983.0,1050.0,2963.0
219,Switzerland,1.5,4.0,0.08,0.04,87.18389790408055,164.0,Inf,NaN,59.0,23.0,59.0,AWW,1028.0,1031.0,3005.0
220,Switzerland,1.5,4.0,0.08,0.04,50.48359718670216,68.0,68.50000096227146,418.0,53.0,84.0,50.48359718670216,ICU,995.0,1083.0,2970.0
221,Switzerland,1.5,4.0,0.08,0.04,53.91743968368443,254.0,54.50000093714957,271.0,47.0,116.0,47.0,AWW,967.0,1076.0,3040.0
222,Switzerland,1.5,4.0,0.08,0.04,48.57391149900352,60.0,Inf,NaN,60.0,60.0,48.57391149900352,ICU,991.0,1066.0,2916.0
223,Switzerland,1.5,4.0,0.08,0.04,39.19424664354926,27.0,57.50000046270855,344.0,61.0,576.0,39.19424664354926,ICU,943.0,1073.0,3006.0
224,Switzerland,1.5,4.0,0.08,0.04,64.71962463440079,1069.0,57.50000013997163,394.0,23.0,4.0,23.0,AWW,935.0,1000.0,3031.0
225,Switzerland,1.5,4.0,0.08,0.04,58.29056991702558,1838.0,61.50000034668997,3110.0,40.0,135.0,40.0,AWW,984.0,1057.0,3000.0
226,Switzerland,1.5,4.0,0.08,0.04,56.81887768732048,2643.0,33.500000166874116,78.0,47.0,617.0,33.500000166874116,HARISS,1008.0,1067.0,2899.0
