country,R0,generation_time,airport_detection_prob,icu_sampling_proportion,airport_mean_detection_time,airport_std_detection_time,airport_mean_local_cases,airport_detection_rate,icu_mean_detection_time,icu_std_detection_time,icu_mean_local_cases,icu_detection_rate
Sierra Leone,2.5,4.0,0.04,0.1,49.72527472527472,5.8348872864786046,146.1978021978022,0.91,73.24385742538449,15.865092316310182,3095.76,1.0
Singapore,2.5,4.0,0.04,0.1,36.45652173913044,6.241324604897428,118.40217391304348,0.92,59.79825631273442,14.95719769493903,3726.21,1.0
Ecuador,2.5,4.0,0.08,0.1,50.74747474747475,6.281400198680901,70.47474747474747,0.99,74.88419141623919,15.11199894887052,1604.78,1.0
Sierra Leone,2.5,4.0,0.08,0.1,48.54,5.0018582405527905,65.67,1.0,72.62408445683275,15.574274902559841,2025.67,1.0
Singapore,2.5,4.0,0.08,0.1,32.93,7.312995213310274,62.24,1.0,60.17621390738819,17.47868116222172,3295.2,1.0
Ecuador,2.5,4.0,0.16,0.1,48.97,5.843851988252788,40.12,1.0,75.56618114624781,15.676967471939184,1205.11,1.0
Sierra Leone,2.5,4.0,0.16,0.1,43.78,6.089533992221756,23.37,1.0,70.38264444256315,15.375481127921944,668.34,1.0
Singapore,2.5,4.0,0.16,0.1,30.63,6.12604144928712,34.64,1.0,59.863156809959726,15.683403143241831,1598.95,1.0
Ecuador,2.5,6.0,0.04,0.1,70.73469387755102,8.190453357048238,52.36734693877551,0.98,90.73559701733535,13.785929287388601,308.29,1.0
Sierra Leone,2.5,6.0,0.04,0.1,67.21052631578948,8.579905689163397,65.73684210526316,0.95,88.19544916303293,15.143869872362771,487.22,1.0
Singapore,2.5,6.0,0.04,0.1,48.65,6.791817715368094,68.63,1.0,79.65830811081561,19.91222644421975,1017.17,1.0
Ecuador,2.5,6.0,0.08,0.1,67.81,7.338421100102137,30.53,1.0,91.96925435079156,13.491874863093482,261.84,1.0
Sierra Leone,2.5,6.0,0.08,0.1,63.16,8.22747307083488,35.55,1.0,85.85341172664063,16.939192247742564,286.42,1.0
Singapore,2.5,6.0,0.08,0.1,44.48,8.16432248359664,32.95,1.0,79.51644105962393,19.836713159945987,696.92,1.0
Ecuador,2.5,6.0,0.16,0.1,64.5,8.462036433746938,18.79,1.0,89.04417558804282,14.429426180917783,172.46,1.0
Sierra Leone,2.5,6.0,0.16,0.1,58.25,9.824083991020549,21.7,1.0,86.02231721892409,16.25741363198095,255.93,1.0
